title;keyword;file
2211-Self Check Out-POS-Customer Display_Removing unwanted highlighted accidentally generated by Guided Access_Lỗi Guided Access_VI;2211-Self Check Out-POS-Customer Display_Removing unwanted highlighted accidentally generated by Guided Access_Lỗi Guided Access_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-Self%20Check%20Out-POS-Customer%20Display_Removing%20unwanted%20highlighted%20accidentally%20generated%20by%20Guided%20Access_L%E1%BB%97i%20Guided%20Access_VI.pptx?d=wfc71305b782d48e0a4bcfbc10d684230&csf=1&web=1&e=kJHIpn
2211-Self Check Out-POS-Customer Display-Error Code 1032 The Scandit DataCapture SDK was unable to access the device’s camera_Lỗi camera_VI;2211-Self Check Out-POS-Customer Display-Error Code 1032 The Scandit DataCapture SDK was unable to access the device’s camera_Lỗi camera_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-Self%20Check%20Out-POS-Customer%20Display-Error%20Code%2010250%20Request%20Permission%20to%20use%20camera%20on%20POS%20application_L%E1%BB%97i%20camera_VI.pptx?d=wa5d13476903d4be3be0f95fa4035ac2a&csf=1&web=1&e=kCl1Cl
2211-Self Check Out-POS-Customer Display-Error Code 10250 Request Permission to use camera on POS application_Lỗi camera_VI;2211-Self Check Out-POS-Customer Display-Error Code 10250 Request Permission to use camera on POS application_Lỗi camera_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-Self%20Check%20Out-POS-Customer%20Display-Error%20Code%201032%20The%20Scandit%20DataCapture%20SDK%20was%20unable%20to%20access%20the%20device%E2%80%99s%20camera_L%E1%BB%97i%20camera_VI.pptx?d=w9ed8e1e03c804eca95c97b151563386d&csf=1&web=1&e=nTkXpP
2211-Self Check Out-POS-Customer Display-iPAD is freezing status_Lỗi treo IPAD_VI;2211-Self Check Out-POS-Customer Display-iPAD is freezing status_Lỗi treo IPAD_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-Self%20Check%20Out-POS-Customer%20Display-iPAD%20is%20freezing%20status_L%E1%BB%97i%20treo%20IPAD_VI.pptx?d=w430973d10d174ca9baca3e417391f615&csf=1&web=1&e=6YSEMb
2211-Staff-POS-Customer Display_Locked Screen;2211-Staff-POS-Customer Display_Locked Screen;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-Staff-POS-Customer%20Display_Locked%20Screen.pptx?d=w70aa8f7a098e4f3d82e29e528884f924&csf=1&web=1&e=UrQb1Z
2211-Staff-POS-Customer Display_Removing unwanted highlighted accidentally generated by Guided Access;2211-Staff-POS-Customer Display_Removing unwanted highlighted accidentally generated by Guided Access;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-Staff-POS-Customer%20Display_Removing%20unwanted%20highlighted%20accidentally%20generated%20by%20Guided%20Access.pptx?d=wa8d6c1525ed64a1197204419220dc775&csf=1&web=1&e=zMaRlE
2211-Staff-POS-Customer Display-iPAD is freezing status;2211-Staff-POS-Customer Display-iPAD is freezing status;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-Staff-POS-Customer%20Display-iPAD%20is%20freezing%20status.pptx?d=w2f212b367b3b41e79ba5fcc90edbacb0&csf=1&web=1&e=nqLFfK
2211-Staff-POS-Staff Display_Locked Screen;2211-Staff-POS-Staff Display_Locked Screen;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-Staff-POS-Staff%20Display_Locked%20Screen.pptx?d=w764d6cb42eb54340b85d05b855a13845&csf=1&web=1&e=69g7NW
2211-Staff-POS-Staff Display_Removing unwanted highlighted accidentally generated by Guided Access;2211-Staff-POS-Staff Display_Removing unwanted highlighted accidentally generated by Guided Access;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-Staff-POS-Staff%20Display_Removing%20unwanted%20highlighted%20accidentally%20generated%20by%20Guided%20Access.pptx?d=w732caca2fab6462490e3099e4f3c50ee&csf=1&web=1&e=JALpAG
2211-Staff-POS-Staff Display-iPAD is freezing status;2211-Staff-POS-Staff Display-iPAD is freezing status;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-Staff-POS-Customer%20Display-iPAD%20is%20freezing%20status.pptx?d=w2f212b367b3b41e79ba5fcc90edbacb0&csf=1&web=1&e=BYj4Tg
2211-TWP APP_Error Looks like we have error with scanner_Lỗi quét RFID_VI;2211-TWP APP_Error Looks like we have error with scanner_Lỗi quét RFID_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-TWP%20APP_Error%20Looks%20like%20we%20have%20error%20with%20scanner_L%E1%BB%97i%20qu%C3%A9t%20RFID_VI.pptx?d=w5b5aa4e09a124462bbebe50e2b37adc3&csf=1&web=1&e=PamgGD
2211-TWP APP_Prices on the POS app for TWP POS are Wrong_Sai giá_VI;2211-TWP APP_Prices on the POS app for TWP POS are Wrong_Sai giá_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-TWP%20APP_Prices%20on%20the%20POS%20app%20for%20TWP%20POS%20are%20Wrong_Sai%20gi%C3%A1_VI.pptx?d=wf7d02a0361d14718bc794753f8e8492c&csf=1&web=1&e=Xbtv29
